ano;cod_uf;cod_munic;pib;prop_serv;pop;arrecad;educ;cod_reg;idade;area;larrecad;lpib;leduc;lpop;lprop_serv;a2001;a2002;a2003;a2004;a2005;a2006;a2007;uf_r
2006;31;3100807;24663.355;0.508781915517982;3832;80599;7.22630111524164;3;43;235.025;11.2972415214699;10.1130738177482;1.97772730293966;8.25114213909075;-0.675735810988099;0;0;0;0;0;1;0;31
2007;31;3100807;25690.885;0.531372391414309;4054;105393;7.43494228751312;3;44;235.025;11.5654514992217;10.1538915387126;2.00619081761072;8.30745932701195;-0.632292201439092;0;0;0;0;0;0;1;31
2001;31;3100906;36111.801;0.68149148805954;17921;219553.01;7;3;62;817.727;12.299348985757;10.4943749884085;1.94591014905531;9.79372848854339;-0.383471517931562;1;0;0;0;0;0;0;31
2002;31;3100906;41240.007;0.67972760043421;18013;313759.03;6.91247672253259;3;63;817.727;12.6563805498905;10.627164107869;1.93332799939723;9.79884899842356;-0.386063148665381;0;1;0;0;0;0;0;31
2003;31;3100906;48659.695;0.664393827376024;18091;314945.02;7.20774647887324;3;64;817.727;12.6601533628914;10.792606348336;1.97515634750008;9.80316985602126;-0.408880191809898;0;0;1;0;0;0;0;31
2004;31;3100906;54209.725;0.662000517434833;18254;231576.48;7.4260182876143;3;65;817.727;12.3526654651198;10.9006155993767;2.00498981839854;9.81213951307682;-0.412488941421819;0;0;0;1;0;0;0;31
2005;31;3100906;61948.687;0.672661391515852;18345;324729.72;7.82877316857899;3;66;817.727;12.6907484845459;11.034061692321;2.05780581427562;9.81711233678938;-0.396513208914342;0;0;0;0;1;0;0;31
2006;31;3100906;66172.991;0.679583306125606;18435;430299.84;7.54954954954955;3;67;817.727;12.972237546993;11.1000276677376;2.02148789916975;9.82200631066824;-0.386275453750919;0;0;0;0;0;1;0;31
2007;31;3100906;73838.812;0.661812882363275;18518;488109.93;7.84265473527218;3;68;817.727;13.0982959258601;11.2096397802066;2.05957739123835;9.82649851100799;-0.412772418039964;0;0;0;0;0;0;1;31
2001;31;3101003;29450.355;0.543975242403699;12060;69269;4.65243902439024;3;38;1257.601;11.1457527546486;10.2904612433365;1.53739160346026;9.39764947028118;-0.608851543449136;1;0;0;0;0;0;0;31
2002;31;3101003;35280.538;0.491206965154556;12217;187991.04;5.55608108108108;3;39;1257.601;12.1441495811019;10.4710867594376;1.71489301821273;9.41058370340406;-0.710889722374827;0;1;0;0;0;0;0;31
2003;31;3101003;41156.769;0.472933747544663;12375;230043.62;5.58776266996292;3;40;1257.601;12.3460242220975;10.6251436883245;1.72057896911893;9.42343358743689;-0.748799968916664;0;0;1;0;0;0;0;31
2004;31;3101003;47442.119;0.600722535180184;12706;172957.78;5.91584158415842;3;41;1257.601;12.060802797453;10.7672656996218;1.77763376696441;9.44982960182648;-0.509622122963389;0;0;0;1;0;0;0;31
2005;31;3101003;51321.002;0.620987914460439;12889;192089.41;6.16400911161731;3;42;1257.601;12.1657162196993;10.8458553430908;1.81872739565556;9.46412951340478;-0.476443658654397;0;0;0;0;1;0;0;31
2006;31;3101003;40209.796;0.631107280424899;13070;248194.34;6.71528588098016;3;43;1257.601;12.4219673473025;10.6018659265136;1.9043864025582;9.47807480661827;-0.46027941437086;0;0;0;0;0;1;0;31
2007;31;3101003;42920.231;0.641066423896926;12674;353060.05;7.17613636363636;3;44;1257.601;12.7743934347623;10.6670985788364;1.97076112731234;9.44730792988346;-0.444622202005988;0;0;0;0;0;0;1;31
2001;31;3101102;89613.202;0.616151591146135;24934;1227118.02;7.44732668781151;3;62;1349.987;14.0201789048866;11.403257931859;2.00785513414439;10.1239876129049;-0.484262256200731;1;0;0;0;0;0;0;31
